"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","G (P)","A (P)","+/- (P)","PPP (P)","SOG (P)","BLK (P)","W (G)","GA (G)","SV (G)","SHO (G)","Image"
"453.p.5368","33","Scheifele","Mark","WPG","Available","","C","127.6","11.1","$6.0","100%","14","16","3","10","63","23","","","","","https://s.yimg.com/iu/api/res/1.2/nqU_gEMPQ8_0bDhG0858Sw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10212022/5368.png"
"453.p.6751","34","Meier","Timo","NJ","Available","","LW,RW","63.1","5.8","$22.5","100%","9","11","9","5","90","18","","","","","https://s.yimg.com/iu/api/res/1.2/NlhsqkHdzk5cVtOUXqxQhg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/6751.png"
"453.p.5734","35","Stolarz","Anthony","TOR","Available","","G","116.5","10.2","$3.0","96%","","","","","","","8","33","400","1","https://s.yimg.com/iu/api/res/1.2/VA3ctV95gZUuvAXl04c3mg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10042024/5734.png"
"453.p.5696","36","Wilson","Tom","WSH","Available","","RW","164.0","14.1","$1.0","57%","11","11","6","6","62","28","","","","","https://s.yimg.com/iu/api/res/1.2/tJgXg0aHuBfDHedtd0JEpQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10052023/5696.png"
"453.p.4969","37","Granlund","Mikael","SJ","Available","","C,LW,RW","170.9","14.7","$0.0","7%","10","20","-2","10","81","19","","","","","https://s.yimg.com/iu/api/res/1.2/rW7bNFzHD9xGsmhlziYWIQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/4969.png"
"453.p.6370","38","Bennett","Sam","FLA","Available","","C","168.3","14.4","$0.0","26%","13","13","-3","6","82","19","","","","","https://s.yimg.com/iu/api/res/1.2/iRzRg0MJdAJ4TFIBMTLZnw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10142024/6370.png"
"453.p.8303","39","McMichael","Connor","WSH","Available","","C,LW","","","","","15","11","10","6","79","11","","","","","https://s.yimg.com/iu/api/res/1.2/zgA9HlgDfzEdvTw7Nqs0Eg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10042024/8303.png"
"453.p.5370","40","Hamilton","Dougie","NJ","Available","","D","63.8","5.8","$17.0","100%","5","16","2","12","93","40","","","","","https://s.yimg.com/iu/api/res/1.2/eoW4gYsG2Br5dRghWYt1.g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/5370.png"
"453.p.5699","41","Vasilevskiy","Andrei","TB","Available","","G","35.0","3.4","$22.5","100%","","","","","","","11","47","469","2","https://s.yimg.com/iu/api/res/1.2/E6n8XwHGU.KV0MDyqTqM0g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10182024/5699.png"
"453.p.4683","42","Duchene","Matt","DAL","Available","","C,RW","158.8","13.7","$4.0","90%","12","16","12","11","46","7","","","","","https://s.yimg.com/iu/api/res/1.2/J32NdV9OIoSyWjyNzvCaMQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10032024/4683.png"
